Destination_Name,Country,City,Destination_Type,Starting_Point,Distance_km,Travel_Mode,Flight_Transport_Cost_USD,Travel_Duration_Hours,Accommodation_Options,Accommodation_Cost_Per_Night_USD,Recommended_Stay_Days,Top_Attractions,Activity_Cost_USD,Activity_Duration_Hours,Food_Options,Food_Cost_Per_Day_USD,Visa_Required,Visa_Cost_USD,Miscellaneous_Cost_USD,Best_Season,Peak_Season_Cost_Multiplier,Local_Currency,Exchange_Rate_to_USD
Maldives,Maldives,Hulhumale,Beach,Dhaka,3000,Flight,300,7,"Budget Hotel,Luxury Hotel",60,7,"Atolls,Snorkeling",30,3,"Street Food,Restaurant",25,TRUE,50,30,November-March,1.5,MVR,0.065
Maui,USA,Kahului,Beach,Dhaka,14500,Flight,1400,22,"Budget Hotel,Luxury Hotel",150,10,"Hana Highway,Beaches",70,6,"Street Food,Fine Dining",60,TRUE,150,90,April-October,1.7,USD,1
Las Vegas,USA,Las Vegas,City,Dhaka,13500,Flight,1200,19,"Budget Hotel,Luxury Hotel",120,7,"The Strip,Casinos",50,4,"Street Food,Fine Dining",50,TRUE,150,80,April-October,1.6,USD,1
Miami,USA,Miami,City,Dhaka,14000,Flight,1100,18,"Budget Hotel,Luxury Hotel",130,7,"South Beach,Art Deco District",50,4,"Street Food,Fine Dining",50,TRUE,150,80,April-October,1.6,USD,1
Orlando,USA,Orlando,City,Dhaka,13500,Flight,1100,18,"Budget Hotel,Luxury Hotel",120,7,"Disney World,Universal Studios",60,4,"Street Food,Fine Dining",50,TRUE,150,80,April-October,1.6,USD,1
Washington D.C.,USA,Washington D.C.,City/Historical,Dhaka,12500,Flight,1000,17,"Budget Hotel,Luxury Hotel",140,7,"White House,Smithsonian Museums",50,4,"Street Food,Fine Dining",50,TRUE,150,80,April-October,1.5,USD,1
Chicago,USA,Chicago,City,Dhaka,13000,Flight,1000,18,"Budget Hotel,Luxury Hotel",130,7,"Millennium Park,Art Institute",50,4,"Street Food,Fine Dining",50,TRUE,150,80,April-October,1.5,USD,1
Boston,USA,Boston,City/Historical,Dhaka,12000,Flight,1000,17,"Budget Hotel,Luxury Hotel",140,7,"Freedom Trail,Harvard University",50,4,"Street Food,Fine Dining",50,TRUE,150,80,April-October,1.5,USD,1
Seattle,USA,Seattle,City,Dhaka,13500,Flight,1100,19,"Budget Hotel,Luxury Hotel",130,7,"Space Needle,Pike Place Market",50,4,"Street Food,Fine Dining",50,TRUE,150,80,April-October,1.6,USD,1
Munich,Germany,Munich,City/Historical,Dhaka,7500,Flight,800,11,"Budget Hotel,Luxury Hotel",110,7,"Oktoberfest,Nymphenburg Palace",35,3,"Café,Fine Dining",35,TRUE,80,50,April-October,1.4,EUR,1.08
Hamburg,Germany,Hamburg,City,Dhaka,7400,Flight,750,11,"Budget Hotel,Luxury Hotel",100,7,"Elbphilharmonie,Miniatur Wunderland",30,3,"Café,Fine Dining",30,TRUE,80,50,April-October,1.4,EUR,1.08
Frankfurt,Germany,Frankfurt,City,Dhaka,7300,Flight,700,10,"Budget Hotel,Luxury Hotel",100,7,"Main Tower,Romarberg",30,3,"Café,Fine Dining",30,TRUE,80,50,April-October,1.4,EUR,1.08
Salzburg,Austria,Salzburg,City/Historical,Dhaka,7600,Flight,780,11,"Budget Hotel,Luxury Hotel",100,5,"Hohensalzburg Fortress,Salzach River",30,3,"Café,Fine Dining",30,TRUE,80,50,April-October,1.4,EUR,1.08
Bruges,Belgium,Bruges,City/Historical,Dhaka,7000,Flight,700,10,"Budget Hotel,Luxury Hotel",90,5,"Canals,Chocolate Museums",25,3,"Café,Fine Dining",30,TRUE,80,40,April-October,1.4,EUR,1.08
Luxembourg City,Luxembourg,Luxembourg City,City,Dhaka,7200,Flight,750,10,"Budget Hotel,Luxury Hotel",100,5,"Vianden Castle,Old Town",30,3,"Café,Fine Dining",30,TRUE,80,50,April-October,1.4,EUR,1.08
Tallinn,Estonia,Tallinn,City/Historical,Dhaka,8500,Flight,850,13,"Budget Hotel,Luxury Hotel",90,5,"Alexander Nevsky Cathedral,Old Town",25,3,"Café,Fine Dining",30,TRUE,80,40,April-October,1.4,EUR,1.08
Riga,Latvia,Riga,City/Historical,Dhaka,8600,Flight,850,13,"Budget Hotel,Luxury Hotel",90,5,"House of the Blackheads,Old Town",25,3,"Café,Fine Dining",30,TRUE,80,40,April-October,1.4,EUR,1.08
Vilnius,Lithuania,Vilnius,City/Historical,Dhaka,8700,Flight,850,13,"Budget Hotel,Luxury Hotel",90,5,"Freedom Square,Old Town",25,3,"Café,Fine Dining",30,TRUE,80,40,April-October,1.4,EUR,1.08
Baku,Azerbaijan,Baku,City,Dhaka,5000,Flight,650,10,"Budget Hotel,Luxury Hotel",90,5,"Old Baku,Maiden Tower",30,3,"Street Food,Restaurant",25,TRUE,50,40,April-October,1.4,AZN,0.59
Doha,Qatar,Doha,City,Dhaka,3800,Flight,600,6,"Budget Hotel,Luxury Hotel",100,5,"Souq Waqif,Pearl Qatar",40,3,"Street Food,Fine Dining",40,TRUE,50,50,November-March,1.5,QAR,0.27
Abu Dhabi,UAE,Abu Dhabi,City,Dhaka,3700,Flight,600,6,"Budget Hotel,Luxury Hotel",100,5,"Sheikh Zayed Mosque,Corniche",40,3,"Street Food,Fine Dining",40,TRUE,50,50,November-March,1.5,AED,0.27
Jerusalem,Israel,Jerusalem,City/Historical,Dhaka,6000,Flight,800,10,"Budget Hotel,Luxury Hotel",100,7,"Western Wall,Dome of the Rock",50,4,"Street Food,Restaurant",30,TRUE,80,50,April-October,1.5,ILS,0.27
Machu Picchu,Peru,Cusco,Historical,Dhaka,9000,Flight,1200,15,"Budget Hotel,Luxury Hotel",150,10,"Inca Trail,Huayna Picchu",100,6,"Street Food,Restaurant",40,TRUE,100,80,April-October,1.7,PEN,0.3
Galapagos Islands,Ecuador,Puerto Ayora,Nature,Dhaka,11000,Flight,1500,18,"Budget Hotel,Resort",200,10,"Wildlife Cruises,Tortuga Bay",150,8,"Street Food,Restaurant",50,TRUE,120,100,April-October,1.7,USD,1
Antarctica,Antarctica,,Nature,Dhaka,22000,Flight,3000,30,Research Station,500,14,"Glaciers,Penguin Colonies",300,12,Research Station Meals,100,TRUE,200,200,December-February,2,USD,1
Ladakh,India,Leh,Nature,Dhaka,3000,Flight,400,7,"Guesthouse,Luxury Hotel",50,5,"Pangong Lake,Thiksey Monastery",30,4,"Street Food,Restaurant",20,TRUE,40,30,June-September,1.5,INR,0.013
Hoi An,Vietnam,Hoi An,City/Historical,Dhaka,2800,Flight,300,6,"Budget Hotel,Mid-Range Hotel",60,4,"Old Town,Hoi An Riverside",20,2,"Street Food,Restaurant",15,TRUE,40,25,February-April,1.3,VND,4.30E-05
Pokhara,Nepal,Pokhara,Nature,Dhaka,1400,Flight,150,4,"Guesthouse,Mid-Range Hotel",30,5,"Phewa Lake,Annapurna Views",15,3,"Street Food,Restaurant",10,TRUE,20,15,March-May,1.4,NPR,0.0088
Penang,Malaysia,George Town,City,Dhaka,3400,Flight,350,8,"Budget Hotel,Luxury Hotel",70,5,"Cheong Fatt Tze Mansion,Kek Lok Si",25,2,"Street Food,Fine Dining",25,TRUE,60,40,April-October,1.4,MYR,0.24
Tashkent,Uzbekistan,Tashkent,City,Dhaka,4500,Flight,500,10,"Budget Hotel,Mid-Range Hotel",60,5,"Chorsu Bazaar,Amir Timur Museum",20,2,"Street Food,Restaurant",20,TRUE,70,40,April-October,1.3,UZS,9.40E-05
Almaty,Kazakhstan,Almaty,City/Nature,Dhaka,4200,Flight,450,9,"Budget Hotel,Luxury Hotel",80,7,"Medeu Valley,Kok-Tobe Hill",30,3,"Street Food,Restaurant",25,TRUE,60,50,March-May,1.4,KZT,0.0023
Muscat,Oman,Muscat,City,Dhaka,3600,Flight,600,6,"Budget Hotel,Luxury Hotel",100,5,"Sultan Qaboos Mosque,Muttrah Souq",40,3,"Street Food,Fine Dining",40,TRUE,50,50,November-March,1.5,OMR,0.26
Salalah,Oman,Salalah,Beach,Dhaka,3700,Flight,650,7,"Budget Hotel,Luxury Hotel",120,7,"Khareef Festival,Dhofar Beaches",50,4,"Street Food,Fine Dining",50,TRUE,50,60,June-August,1.6,OMR,0.26
Kuwait City,Kuwait,Kuwait City,City,Dhaka,3800,Flight,600,6,"Budget Hotel,Luxury Hotel",100,5,"Kuwait Towers,Grand Mosque",40,3,"Street Food,Fine Dining",40,TRUE,50,50,November-March,1.5,KWD,0.31
Nairobi,Kenya,Nairobi,City/Nature,Dhaka,7500,Flight,800,12,"Budget Hotel,Luxury Hotel",90,7,"Nairobi National Park,Giraffe Centre",50,4,"Street Food,Restaurant",30,TRUE,80,60,June-September,1.5,KES,0.0092
Zanzibar,Tanzania,Stone Town,Beach,Dhaka,8000,Flight,850,13,"Budget Hotel,Luxury Hotel",100,7,"Spice Markets,Stone Town",40,3,"Street Food,Restaurant",30,TRUE,80,70,November-March,1.5,TZS,0.00043
Maasai Mara,Kenya,Maasai Mara,Nature,Dhaka,7600,Flight,900,14,"Guesthouse,Tourist Lodge",80,5,"Wildlife Safari,Great Migration",60,5,"Street Food,Restaurant",35,TRUE,90,80,July-September,1.6,KES,0.0092
Luang Prabang,Laos,Luang Prabang,Nature,Dhaka,4000,Flight,450,9,"Budget Hotel,Mid-Range Hotel",60,5,"Kuang Si Falls,Mount Phousi",20,3,"Street Food,Restaurant",15,TRUE,40,25,November-March,1.4,LAK,0.00012
Ella,Sri Lanka,Ella,Nature,Dhaka,2200,Flight,250,5,"Guesthouse,Mid-Range Hotel",40,4,"Nine Arch Bridge,Ella Rock",15,2,"Street Food,Restaurant",15,TRUE,30,20,December-March,1.3,LKR,0.005
Kandy,Sri Lanka,Kandy,City/Historical,Dhaka,2100,Flight,250,5,"Budget Hotel,Luxury Hotel",50,5,"Temple of the Tooth,Dalada Maligawa",20,2,"Street Food,Fine Dining",20,TRUE,30,20,December-March,1.3,LKR,0.005
Galle,Sri Lanka,Galle,City/Historical,Dhaka,2300,Flight,300,6,"Budget Hotel,Mid-Range Hotel",50,5,"Galle Fort,Unawatuna Beach",20,2,"Street Food,Restaurant",20,TRUE,30,25,December-March,1.3,LKR,0.005
Yangon,Myanmar,Yangon,City,Dhaka,3000,Flight,350,7,"Budget Hotel,Luxury Hotel",60,5,"Shwedagon Pagoda,Sule Pagoda",25,3,"Street Food,Fine Dining",25,TRUE,50,30,November-March,1.4,MMK,0.00048
Bagan,Myanmar,Bagan,City/Historical,Dhaka,3100,Flight,400,8,"Guesthouse,Tourist Lodge",50,5,"Temples of Bagan,Hsinbyume Pagoda",20,3,"Street Food,Restaurant",20,TRUE,50,30,November-March,1.4,MMK,0.00048
Inle Lake,Myanmar,Nyaung Shwe,Nature,Dhaka,3200,Flight,400,8,"Guesthouse,Mid-Range Hotel",40,4,"Inle Lake Floating Villages,Fishermen",15,2,"Street Food,Restaurant",15,TRUE,50,25,November-March,1.4,MMK,0.00048
Jeju Island,South Korea,Jeju City,Nature,Dhaka,4700,Flight,500,9,"Budget Hotel,Luxury Hotel",80,5,"Hallasan National Park,Love Land",25,2,"Street Food,Fine Dining",25,TRUE,50,40,April-June,1.3,KRW,0.00085
Busan,South Korea,Busan,City,Dhaka,4600,Flight,450,9,"Budget Hotel,Mid-Range Hotel",70,5,"Haeundae Beach,Gamcheon Village",25,2,"Street Food,Restaurant",20,TRUE,40,30,April-October,1.4,KRW,0.00085
Gili Islands,Indonesia,Gili Trawangan,Beach,Dhaka,4800,Flight,550,10,"Budget Hotel,Luxury Hotel",60,7,"Snorkeling,Gili Trawangan",20,3,"Street Food,Restaurant",20,TRUE,50,40,April-October,1.4,IDR,7.00E-05
Langkawi,Malaysia,Langkawi,Beach,Dhaka,3600,Flight,400,8,"Budget Hotel,Luxury Hotel",80,7,"Eagle Feeding,Cable Car",30,3,"Street Food,Fine Dining",25,TRUE,60,50,November-March,1.5,MYR,0.24
Krabi,Thailand,Krabi,Beach,Dhaka,3100,Flight,350,7,"Budget Hotel,Luxury Hotel",70,5,"Ao Nang,Phra Nang Beach",25,2,"Street Food,Restaurant",20,TRUE,50,40,November-February,1.3,THB,0.03
Hokkaido,Japan,Sapporo,Nature,Dhaka,6000,Flight,700,12,"Budget Hotel,Luxury Hotel",100,7,"Sapporo Snow Festival,Otaru Canal",40,4,"Street Food,Fine Dining",30,TRUE,60,60,December-February,1.6,JPY,0.0077
Okinawa,Japan,Naha,Beach,Dhaka,5800,Flight,650,11,"Budget Hotel,Luxury Hotel",90,7,"Shuri Castle,Kokusai Street",30,3,"Street Food,Fine Dining",25,TRUE,60,50,April-October,1.5,JPY,0.0077
Siem Reap,Cambodia,Siem Reap,City/Historical,Dhaka,3500,Flight,400,8,"Budget Hotel,Mid-Range Hotel",70,5,"Angkor Wat,Tonle Sap Lake",25,3,"Street Food,Restaurant",20,TRUE,50,30,November-March,1.4,KHR,0.00025
Chiang Rai,Thailand,Chiang Rai,City,Dhaka,2900,Flight,300,6,"Budget Hotel,Mid-Range Hotel",60,5,"White Temple,Golden Triangle",20,2,"Street Food,Restaurant",15,TRUE,40,25,November-February,1.3,THB,0.03
Tbilisi,Georgia,Tbilisi,City/Historical,Dhaka,5500,Flight,600,9,"Budget Hotel,Luxury Hotel",80,5,"Narikala Fortress,Bridge of Peace",25,3,"Street Food,Restaurant",20,TRUE,50,40,April-October,1.4,GEL,0.37
Yiwu,China,Yiwu,City,Dhaka,4000,Flight,450,8,"Budget Hotel,Mid-Range Hotel",70,5,"Yiwu Market,Zhejiang Villages",20,2,"Street Food,Restaurant",20,TRUE,50,30,April-October,1.5,CNY,0.15
Guilin,China,Guilin,Nature,Dhaka,4200,Flight,500,9,"Budget Hotel,Luxury Hotel",80,7,"Li River,Yangshuo",30,3,"Street Food,Restaurant",25,TRUE,60,40,March-May,1.4,CNY,0.15
Zhangjiajie,China,Zhangjiajie,Nature,Dhaka,4300,Flight,550,10,"Guesthouse,Tourist Lodge",60,5,"Avatar Mountains,Fenghuang Town",25,3,"Street Food,Restaurant",20,TRUE,60,40,March-May,1.4,CNY,0.15
Sapa,Vietnam,Sa Pa,Nature,Dhaka,2600,Flight,300,6,"Guesthouse,Mid-Range Hotel",50,5,"Rice Terraces,Ta Van Village",20,3,"Street Food,Restaurant",15,TRUE,40,25,September-November,1.3,VND,4.30E-05
Taman Negara,Malaysia,Kuala Tahan,Nature,Dhaka,3700,Flight,400,8,"Guesthouse,Tourist Lodge",50,5,"Rainforest Trekking,Canopy Walk",20,3,"Street Food,Restaurant",15,TRUE,50,30,April-October,1.4,MYR,0.24
Kinabalu,Malaysia,Kota Kinabalu,Nature,Dhaka,3800,Flight,450,9,"Budget Hotel,Luxury Hotel",80,7,"Mount Kinabalu,Sipadan Island",30,4,"Street Food,Fine Dining",25,TRUE,60,40,April-October,1.5,MYR,0.24
Borneo,Malaysia,Kuching,Nature,Dhaka,3900,Flight,500,10,"Guesthouse,Tourist Lodge",70,7,"Orangutan Sanctuary,Semenggoh",25,4,"Street Food,Restaurant",20,TRUE,60,40,April-October,1.5,MYR,0.24
Batumi,Georgia,Batumi,Beach,Dhaka,5600,Flight,650,10,"Budget Hotel,Luxury Hotel",90,5,"Batumi Boulevard,Black Sea",30,3,"Street Food,Restaurant",25,TRUE,50,50,April-October,1.4,GEL,0.37
Shiraz,Iran,Shiraz,City/Historical,Dhaka,4800,Flight,700,11,"Budget Hotel,Luxury Hotel",100,7,"Persepolis,Naqsh-e Jahan Square",40,4,"Street Food,Fine Dining",30,TRUE,70,60,March-May,1.5,IRR,2.40E-05
Isfahan,Iran,Isfahan,City/Historical,Dhaka,4900,Flight,750,11,"Budget Hotel,Luxury Hotel",110,7,"Imam Square,Si-o-se-pol Bridge",40,4,"Street Food,Fine Dining",35,TRUE,70,60,March-May,1.5,IRR,2.40E-05
Tajikistan,Tajikistan,Dushanbe,City/Nature,Dhaka,5000,Flight,600,11,"Guesthouse,Mid-Range Hotel",70,5,"Pamir Highway,Rudaki Park",25,3,"Street Food,Restaurant",20,TRUE,60,50,June-September,1.4,TJS,0.1
Samarkand,Uzbekistan,Samarkand,City/Historical,Dhaka,4600,Flight,550,10,"Budget Hotel,Luxury Hotel",80,7,"Registan Square,Shah-i-Zinda",30,3,"Street Food,Fine Dining",25,TRUE,70,50,April-October,1.4,UZS,9.40E-05
Bukhara,Uzbekistan,Bukhara,City/Historical,Dhaka,4700,Flight,600,11,"Budget Hotel,Luxury Hotel",90,7,"Itchan Kala,Kalta Minor",35,4,"Street Food,Fine Dining",30,TRUE,70,60,April-October,1.4,UZS,9.40E-05
Khiva,Uzbekistan,Khiva,City/Historical,Dhaka,4800,Flight,650,11,"Guesthouse,Tourist Lodge",60,5,"Khiva Old Town,Kunya-Ark",25,3,"Street Food,Restaurant",20,TRUE,70,50,April-October,1.4,UZS,9.40E-05
Dushanbe,Tajikistan,Dushanbe,City/Nature,Dhaka,5000,Flight,600,11,"Guesthouse,Mid-Range Hotel",70,5,"Iskanderkul Lake,Hissor Fortress",20,3,"Street Food,Restaurant",20,TRUE,60,50,June-September,1.4,TJS,0.1
Nuwara Eliya,Sri Lanka,Nuwara Eliya,Nature,Dhaka,2400,Flight,300,6,"Budget Hotel,Mid-Range Hotel",50,5,"Tea Plantations,Horton Plains",20,3,"Street Food,Restaurant",15,TRUE,30,25,December-March,1.3,LKR,0.005
Mirissa,Sri Lanka,Mirissa,Beach,Dhaka,2500,Flight,350,7,"Budget Hotel,Luxury Hotel",60,5,"Whale Watching,Mirissa Beach",25,3,"Street Food,Restaurant",20,TRUE,30,30,November-March,1.4,LKR,0.005
Teknaf,Bangladesh,Teknaf,Beach,Dhaka,600,Boat,50,12,"Guesthouse,Tourist Lodge",20,2,"St. Martin’s Coral,Jetty",10,3,"Street Food,Restaurant",8,FALSE,0,10,December-March,1.4,BDT,0.0091
Ratargul Swamp Forest,Bangladesh,Sylhet,Nature,Dhaka,350,Bus,30,6,"Guesthouse,Mid-Range Hotel",25,3,"Swamp Forest,Boat Ride",10,2,"Street Food,Restaurant",10,FALSE,0,15,February-April,1.3,BDT,0.0091
Hampi,India,Hampi,Historical,Dhaka,2200,Flight,300,6,"Budget Hotel,Luxury Hotel",60,5,"Virupaksha Temple,Ruins",20,3,"Street Food,Restaurant",20,TRUE,40,30,November-March,1.4,INR,0.013
Phnom Penh,Cambodia,Phnom Penh,City,Dhaka,3400,Flight,400,8,"Budget Hotel,Mid-Range Hotel",50,5,"Royal Palace,Killing Fields",25,2,"Street Food,Restaurant",20,TRUE,50,30,November-March,1.4,KHR,0.00025
Lanzarote,Spain,Arrecife,Beach/Nature,Dhaka,9000,Flight,900,14,"Budget Hotel,Luxury Hotel",100,7,"Timanfaya Park,Beaches",40,4,"Street Food,Fine Dining",40,TRUE,90,60,April-October,1.5,EUR,1.08
Siemensstadt,Germany,Berlin,City/Historical,Dhaka,7300,Flight,750,11,"Budget Hotel,Luxury Hotel",110,7,"Siemensstadt History,Spree River",30,3,"Café,Fine Dining",35,TRUE,80,50,April-October,1.4,EUR,1.08
Great Barrier Reef,Australia,Cairns,Nature,Dhaka,9000,Flight,950,15,"Budget Hotel,Resort",120,10,"Coral Reefs,Snorkeling",60,5,"Street Food,Fine Dining",45,TRUE,100,70,September-November,1.5,AUD,0.72
Petra,Jordan,Wadi Musa,Historical,Dhaka,4500,Flight,700,8,"Budget Hotel,Luxury Hotel",90,5,"Treasury,Siq",50,4,"Street Food,Restaurant",30,TRUE,70,50,November-March,1.5,JOD,0.71
Mekong Delta,Vietnam,Can Tho,Nature,Dhaka,3100,Flight,350,7,"Guesthouse,Mid-Range Hotel",40,4,"Mekong River,Floating Markets",20,2,"Street Food,Restaurant",15,TRUE,40,25,November-March,1.3,VND,4.30E-05
Granada,Spain,Granada,City/Historical,Dhaka,8200,Flight,850,12,"Budget Hotel,Luxury Hotel",100,7,"Alhambra,Generalife",35,3,"Café,Fine Dining",35,TRUE,80,50,April-October,1.4,EUR,1.08
Tromsø,Norway,Tromsø,Nature,Dhaka,9500,Flight,950,15,"Budget Hotel,Luxury Hotel",130,7,"Northern Lights,Arctic Cathedral",50,4,"Café,Fine Dining",40,TRUE,100,60,June-August,1.5,NOK,0.1
Ljubljana,Slovenia,Ljubljana,City,Dhaka,7800,Flight,800,12,"Budget Hotel,Luxury Hotel",90,5,"Ljubljana Castle,Lake Bled",30,3,"Café,Fine Dining",30,TRUE,80,40,April-October,1.4,EUR,1.08
Luang Namtha,Laos,Luang Namtha,Nature,Dhaka,3800,Flight,450,9,"Guesthouse,Tourist Lodge",30,4,"Nam Ha Trekking,Villages",15,2,"Street Food,Restaurant",10,TRUE,40,20,November-March,1.3,LAK,0.00012
Fiji,Fiji,Nadi,Beach,Dhaka,11000,Flight,1100,16,"Budget Hotel,Resort",150,10,"Coral Coast,Yasawa Islands",50,4,"Street Food,Restaurant",50,TRUE,120,80,April-October,1.6,FJD,0.48
Kilimanjaro,Tanzania,Moshi,Nature,Dhaka,8000,Flight,900,13,"Guesthouse,Tourist Lodge",80,5,"Kilimanjaro Trek,Safari",60,5,"Street Food,Restaurant",35,TRUE,90,50,June-September,1.6,TZS,0.00043
Giza,Egypt,Giza,Historical,Dhaka,5000,Flight,500,7,"Budget Hotel,Luxury Hotel",70,5,"Pyramids,Sphinx",20,2,"Street Food,Restaurant",20,TRUE,50,30,November-March,1.3,EGP,0.064
Meteora,Greece,Kastraki,Nature,Dhaka,6500,Flight,600,9,"Budget Hotel,Luxury Hotel",80,5,"Meteora Monasteries,Rock Formations",25,2,"Street Food,Restaurant",25,TRUE,60,40,April-October,1.4,EUR,1.08
Cinque Terre,Italy,Riomaggiore,Beach,Dhaka,7500,Flight,800,11,"Budget Hotel,Luxury Hotel",100,7,"Monterosso,Vernazza",35,3,"Café,Fine Dining",30,TRUE,80,50,April-October,1.4,EUR,1.08
Patagonia,Argentina,El Calafate,Nature,Dhaka,14000,Flight,1200,20,"Guesthouse,Tourist Lodge",100,10,"Perito Moreno Glacier,Fitz Roy",70,6,"Street Food,Restaurant",40,TRUE,120,80,April-October,1.7,ARS,0.01
Uzbekistan Silk Road,Uzbekistan,Samarkand,Historical,Dhaka,4600,Flight,550,10,"Budget Hotel,Luxury Hotel",80,7,"Registan,Gur-e-Amir",30,3,"Street Food,Fine Dining",25,TRUE,70,40,April-October,1.4,UZS,9.40E-05
Galway,Ireland,Galway,City,Dhaka,8000,Flight,800,11,"Budget Hotel,Luxury Hotel",90,7,"Cliffs of Moher,Connemara",35,3,"Café,Fine Dining",30,TRUE,80,50,April-September,1.4,EUR,1.08
Lake Baikal,Russia,Irkutsk,Nature,Dhaka,6000,Flight,650,10,"Guesthouse,Tourist Lodge",70,7,"Baikal Lake,Siberian Taiga",40,4,"Street Food,Restaurant",30,TRUE,70,50,June-August,1.5,RUB,0.014
Chamonix,France,Chamonix,Nature,Dhaka,7000,Flight,750,10,"Budget Hotel,Luxury Hotel",110,7,"Mont Blanc,Skiing",40,4,"Café,Fine Dining",35,TRUE,80,50,June-September,1.5,EUR,1.08
Santorini,Greece,Fira,Beach,Dhaka,6500,Flight,600,9,"Budget Hotel,Luxury Hotel",90,5,"Oia Sunset,Caldera",25,2,"Street Food,Restaurant",25,TRUE,60,40,April-October,1.5,EUR,1.08
Kashmir,India,Srinagar,Nature,Dhaka,2300,Flight,350,6,"Guesthouse,Luxury Hotel",50,5,"Dal Lake,Gulmarg",30,3,"Street Food,Restaurant",15,TRUE,40,30,March-May,1.4,INR,0.013
Tulum,Mexico,Tulum,Beach,Dhaka,12000,Flight,1000,18,"Budget Hotel,Luxury Hotel",100,7,"Mayan Ruins,Beaches",45,4,"Street Food,Restaurant",40,TRUE,100,60,April-October,1.6,MXN,0.052
Bhutan Highlands,Bhutan,Paro,Nature,Dhaka,2000,Flight,250,5,"Guesthouse,Luxury Hotel",60,7,"Paro Valley,Tiger’s Nest",30,4,"Street Food,Restaurant",20,TRUE,30,30,October-December,1.5,BTN,0.014
Madagascar,Madagascar,Antananarivo,Nature,Dhaka,9000,Flight,900,13,"Budget Hotel,Luxury Hotel",90,7,"Tsingy de Bemaraha,Baobabs",50,5,"Street Food,Restaurant",30,TRUE,80,60,June-September,1.6,MGA,0.00033
Halong Bay,Vietnam,Ha Long,Nature,Dhaka,2800,Flight,300,6,"Guesthouse,Mid-Range Hotel",50,5,"Limestone Caves,Cat Ba",20,3,"Street Food,Restaurant",15,TRUE,40,30,February-April,1.3,VND,4.30E-05
Sahara Desert,Morocco,Merzouga,Nature,Dhaka,7000,Flight,700,10,"Guesthouse,Tourist Lodge",60,7,"Erg Chebbi,Camel Trek",40,4,"Street Food,Restaurant",25,TRUE,80,50,March-May,1.5,MAD,0.11
Torres del Paine,Chile,Puerto Natales,Nature,Dhaka,13000,Flight,1150,19,"Guesthouse,Tourist Lodge",80,10,"W Trek,Grey Glacier",60,6,"Street Food,Restaurant",35,TRUE,110,70,April-October,1.7,CLP,0.00014
Raja Ampat,Indonesia,Sorong,Beach,Dhaka,4800,Flight,550,10,"Budget Hotel,Resort",80,7,"Coral Diving,Wayag Islands",30,3,"Street Food,Restaurant",25,TRUE,50,40,April-October,1.4,IDR,7.00E-05
Lofoten Islands,Norway,Svolvær,Nature,Dhaka,9500,Flight,950,15,"Budget Hotel,Luxury Hotel",120,7,"Fishing Villages,Midnight Sun",50,4,"Café,Fine Dining",40,TRUE,100,60,June-August,1.5,NOK,0.1
Cappadocia,Turkey,Göreme,Nature,Dhaka,5000,Flight,650,9,"Budget Hotel,Luxury Hotel",90,7,"Fairy Chimneys,Hot Air Balloon",40,4,"Street Food,Fine Dining",30,TRUE,70,50,March-May,1.5,TRY,0.12
Yosemite,USA,Yosemite Valley,Nature,Dhaka,14000,Flight,1300,20,"Budget Hotel,Luxury Hotel",150,10,"El Capitan,Half Dome",70,6,"Street Food,Fine Dining",50,TRUE,150,90,April-October,1.6,USD,1
Bora Bora,French Polynesia,Vaitape,Beach,Dhaka,11000,Flight,1500,20,"Budget Hotel,Luxury Hotel",200,10,"Matira Beach,Lagoon",100,6,"Street Food,Fine Dining",70,TRUE,100,100,April-October,1.7,XPF,0.0093
Lake Titicaca,Peru,Puno,Nature,Dhaka,9000,Flight,1200,15,"Guesthouse,Tourist Lodge",90,7,"Uros Islands,Taquíle",40,4,"Street Food,Restaurant",30,TRUE,100,60,April-October,1.5,PEN,0.3
Mount Fuji,Japan,Fujiyoshida,Nature,Dhaka,5500,Flight,700,11,"Budget Hotel,Luxury Hotel",100,7,"Fuji Five Lakes,Climbing",40,4,"Street Food,Restaurant",25,TRUE,60,40,March-May,1.4,JPY,0.0077
Serengeti,Tanzania,Seronera,Nature,Dhaka,8000,Flight,900,13,"Guesthouse,Tourist Lodge",80,7,"Wildebeest Migration,Ngorongoro",60,5,"Street Food,Restaurant",35,TRUE,90,60,June-September,1.6,TZS,0.00043
Easter Island,Chile,Hanga Roa,Nature,Dhaka,15000,Flight,1400,22,"Budget Hotel,Luxury Hotel",150,10,"Moai Statues,Rano Raraku",80,6,"Street Food,Fine Dining",50,TRUE,120,100,April-October,1.7,CLP,0.00014
Amalfi Coast,Italy,Amalfi,Beach,Dhaka,7500,Flight,800,11,"Budget Hotel,Luxury Hotel",110,7,"Positano,Sorrento",40,4,"Café,Fine Dining",35,TRUE,80,50,April-October,1.4,EUR,1.08
Namibia Dunes,Namibia,Swakopmund,Nature,Dhaka,10000,Flight,1000,15,"Guesthouse,Tourist Lodge",90,7,"Sossusvlei,Deadvlei",50,5,"Street Food,Restaurant",30,TRUE,100,60,June-September,1.6,NAD,0.06
